question,answer_agent,answer_orig,tool_calls,cost,document
"I just found this course late — can I still join, or is it too late to start?","Yes — you can still join. The course materials are available anytime, and you can start learning whenever you want.

One important note: if you want to receive a certificate, you’ll need to submit the project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late join course too late to start enroll late found course late can I still join""}'}]",0.0011160,74eb249bbf
Am I allowed to enroll if I only discovered the course now?,"Yes — if you just discovered the course, you can still join.

The FAQ says: **“Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.”**

So you can enroll and follow along, but to be eligible for a certificate, make sure you complete and submit the project on time.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late enrollment discovered course now enrollment allowed late add register after course starts""}'}]",0.00123225,74eb249bbf
"If I join after the course has started, can I still get a certificate?","Yes — if you join after the course has started, you can still get a certificate, but only if you submit your project while submissions are still open and finish the course with the live cohort.

Key point: certificates are **not** available for self-paced completion.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join after course started certificate""}'}]",0.0010215,74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,"Yes — if you’re joining late, you can still qualify for a certificate **as long as you submit your project while submissions are still open**.

A few key points:
- **Homework is not required** for the certificate.
- What you **do need** is to **pass the Capstone/project**.
- If you want the certificate, you must finish while the course is still running, since certificate eligibility depends on the live cohort.

If you want, I can also explain what happens if you missed some homework or joined after the course started.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate late joiner qualify requirements joined late""}'}]",0.00129975,74eb249bbf
"Is it okay to start the course now, and what’s the deadline for the final project if I want the certificate?","Yes — you can start the course whenever you want. The videos, materials, and docs are available, and the deadlines are listed on the course platform.

For the certificate, the key requirement is **completing the course with the live cohort** and **submitting the final/capstone project while submissions are still open**. The FAQ doesn’t give a specific final-project date here, so you’ll need to check the course management platform for the exact deadline.

Also, note that **self-paced mode does not qualify for a certificate**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""start the course now deadline final project certificate""}'}, {'name': 'search', 'arguments': '{""query"":""certificate final project deadline course start anytime""}'}]",0.00224775,74eb249bbf
"I signed up for the LLM Zoomcamp — when should I get the confirmation email, or am I missing something?","You don’t need to wait for a confirmation email — you’re accepted.

Registration is only used to gauge interest before the start date, and it’s **not checked against a registered list**. You can also just start learning and submit homework while the form is open, even without registering.

If you want, I can also point you to the LLM Zoomcamp starting resources and workflow.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp confirmation email signup when should I get the confirmation email missing something""}'}]",0.0012945,977bf7786c
Do I actually need a registration confirmation to join the course and submit homework?,"No — you don’t need the registration confirmation to join the course or submit homework.

The FAQ says:
- you’re accepted once you’ve registered,
- but you can also start learning and submit homework while the form is open even without registering,
- and registration is not checked against any list.

So if the homework submission form is open, you can go ahead and submit.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration confirmation join course submit homework""}'}]",0.00112275,977bf7786c
"If I never got an email after registering, can I still start the LLM Zoomcamp anyway?","Yes — you can start the LLM Zoomcamp even if you never got a confirmation email.

According to the FAQ, you don’t need the email; if you registered, you’re accepted. In fact, you can even start learning and submitting homework while the form is open without registering, since registration is just to gauge interest.

If you want, I can also point you to the official docs and course platform links.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""never got an email after registering start LLM Zoomcamp anyway""}'}]",0.001260,977bf7786c
"Is there a real acceptance step for the course, or does registration just help you track interest?","There’s no real acceptance step. You’re considered accepted, and you can start learning and submitting homework as long as the form is open.

Registration is just used to gauge interest before the start date, not to check against an approved list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""acceptance step registration track interest course FAQ""}'}]",0.001092,977bf7786c
"Do I need to be on some registered list before I can do the homework, or is that not required?","No, you don’t need to be on a registered list before doing the homework. You can start learning and submit homework while the form is open, and it is **not checked against a registered list**. Registration is just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registered list homework required before doing homework registered list""}'}]",0.00109575,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link is private?,"The Zoom link is only shared with instructors/presenters/TAs.

For students:
- Join via **YouTube Live**
- Submit questions through **Slido** (the link is pinned in chat when the session is live)
- The stream link is usually posted in the **announcements channel on Telegram and Slack** before it starts
- You can also watch on the **DataTalksClub YouTube channel**

Don’t use the Zoom chat for questions, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""students join Office Hours live workshop stream Zoom link private""}'}]",0.00145425,489dd1c9d9
Where can I find the live video link for office hours before the session starts?,"The live video link for office hours is usually posted in the **announcements channel on Telegram and Slack before the session starts**. You can also watch it live on the **DataTalksClub YouTube Channel**.

A note from the FAQ: the **Zoom link is only for instructors/presenters/TAs**; students join via **YouTube Live**, and questions are submitted through **Slido** when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live video link office hours before the session starts""}'}]",0.00138825,489dd1c9d9
"If I can’t use Zoom, what should I use to watch the workshop and ask questions?","If you can’t use Zoom, you can still **watch the session on YouTube Live** and **ask questions through Slido**.

A few details:
- The **Zoom link is only for instructors/presenters/TAs**
- The **YouTube Live link** is usually posted in the **announcements channel on Telegram and Slack**
- The **Slido link** is pinned in the chat when the session is live
- Don’t rely on chat for questions, since they may be missed

If you want, I can also tell you where to find the announcements channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""can\'t use Zoom workshop watch ask questions alternative platform""}'}]",0.00156675,489dd1c9d9
"Why aren’t students given the Zoom URL for office hours, and where should questions go instead?","The Zoom link for office hours is only shared with instructors, presenters, and TAs.

Students should join via YouTube Live instead, and ask questions in Slido during the live session. If the session is announced, the link is also posted in the course announcements channel on Telegram and Slack before it starts.

Also, don’t post questions in the live chat, since they can get missed when the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Zoom URL office hours why students aren’t given it where should questions go instead""}'}]",0.0015510,489dd1c9d9
