question,document
"I just found this course late — can I still join, or is it too late to start?",74eb249bbf
Am I allowed to enroll if I only discovered the course now?,74eb249bbf
"If I join after the course has started, can I still get a certificate?",74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,74eb249bbf
"Is it okay to start the course now, and what’s the deadline for the final project if I want the certificate?",74eb249bbf
"I signed up for the LLM Zoomcamp — when should I get the confirmation email, or am I missing something?",977bf7786c
Do I actually need a registration confirmation to join the course and submit homework?,977bf7786c
"If I never got an email after registering, can I still start the LLM Zoomcamp anyway?",977bf7786c
"Is there a real acceptance step for the course, or does registration just help you track interest?",977bf7786c
"Do I need to be on some registered list before I can do the homework, or is that not required?",977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link is private?,489dd1c9d9
Where can I find the live video link for office hours before the session starts?,489dd1c9d9
"If I can’t use Zoom, what should I use to watch the workshop and ask questions?",489dd1c9d9
"Why aren’t students given the Zoom URL for office hours, and where should questions go instead?",489dd1c9d9
"Is the live session posted anywhere like Telegram, Slack, or YouTube before it begins?",489dd1c9d9
What’s the best way to begin the course if I’m new here and don’t want to miss anything?,04919992b3
"Do I need to wait for a start date, or can I just jump into the LLM Zoomcamp materials whenever I want?",04919992b3
"What’s the usual weekly routine for this course — video first, then notebooks, then homework?",04919992b3
Where are the deadlines and homework instructions posted for the course?,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?",04919992b3
How do I find myself on the leaderboard if I can’t see my name there?,c2903069a0
Why does the leaderboard show some random name instead of my real one?,c2903069a0
Where can I check what display name I’m using for the course?,c2903069a0
Can I change the name that appears on the leaderboard and in the course profile?,c2903069a0
How do I make sure the name on my certificate is my official name and not the default one?,c2903069a0
Can I do the course on my own schedule and still get the certificate?,69d122f12e
"If I take the self-paced version, will I still receive a certificate at the end?",69d122f12e
Do certificates count for students who join later and study without the live cohort?,69d122f12e
Why isn’t there a certificate for self-paced learners in this course?,69d122f12e
Is the certificate only available when the course is running live and peer review is open?,69d122f12e
Can I still get the course certificate if I skipped the first homework?,9f689c185f
"Is the first homework required for the certificate, or is the final project enough?",9f689c185f
Do I need to complete all homework assignments to receive the certificate?,9f689c185f
"If homework isn't mandatory, what do I need to pass to get certified?",9f689c185f
Does missing homework stop me from earning the certificate in this course?,9f689c185f
Why does the homework content keep changing before it’s released?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready?,96286b4be4
Can I start working on a homework before the final version is out?,96286b4be4
Why is the homework on the platform still different from what I saw earlier?,96286b4be4
