question,document,score,reasoning
"I just found this course late — can I still join, or is it too late to start?",74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late joining is allowed, and certificate eligibility depends on submitting the project while submissions are still being accepted. It is semantically equivalent."
Am I allowed to enroll if I only discovered the course now?,74eb249bbf,good,"The AI answer preserves the key points: late enrollment is allowed, and certificate eligibility requires submitting the project before submissions close. This is semantically equivalent to the ground truth."
"If I join after the course has started, can I still get a certificate?",74eb249bbf,good,"The AI answer preserves the original meaning: joining after the course has started does not prevent getting a certificate, provided the project is submitted while submissions are still being accepted. It is semantically equivalent."
What do I need to do to qualify for the certificate if I’m joining late?,74eb249bbf,bad,"The ground truth says that late joiners can still get a certificate only if they submit their project while submissions are still being accepted. The AI answer adds several unrelated requirements (live cohort, peer reviews, self-paced mode) and does not clearly state the key condition that the project must be submitted before the submission window closes. It therefore misses the main point and includes potentially incorrect extra constraints."
"Is it okay to start the course now, and what’s the deadline for the final project if I want the certificate?",74eb249bbf,bad,"The ground truth says it is okay to start now, but to get the certificate you must submit the project while submissions are still being accepted. The AI answer incorrectly adds requirements about finishing with a live cohort and passing a capstone project, and it fails to state the key deadline condition from the ground truth. It also says it does not know the specific deadline, which is not aligned with the provided answer. Therefore it is not semantically equivalent."
"I signed up for the LLM Zoomcamp — when should I get the confirmation email, or am I missing something?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is already accepted, they can start learning and submit homework while the form is open, and registration is only to gauge interest. It preserves the key point that no registered list check is needed implicitly by saying they are accepted and can proceed."
Do I actually need a registration confirmation to join the course and submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it says registration confirmation is not needed, the student is already accepted, and they can start learning and submitting homework while the form is open. It preserves the core point that registration is only for gauging interest, though it omits that last detail. That omission is not critical."
"If I never got an email after registering, can I still start the LLM Zoomcamp anyway?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is accepted, registration is only to gauge interest, and they can start learning/submitting homework while the form is open even without registering. This conveys the same key information."
"Is there a real acceptance step for the course, or does registration just help you track interest?",977bf7786c,good,"The AI answer matches the ground truth: it says there is no real acceptance step, registration only gauges interest, and you can start learning and submitting homework without registering. The added mention of a confirmation email is extra but does not conflict with the original meaning."
"Do I need to be on some registered list before I can do the homework, or is that not required?",977bf7786c,good,"The AI answer matches the ground truth: it clearly states registration is not required, you can start learning and submitting homework while the form is open, and there is no registered-list check. It omits the detail that registration is just to gauge interest before the start date, but that does not change the core meaning."
How do students join the Office Hours or live workshop stream if the Zoom link is private?,489dd1c9d9,good,"The AI answer matches the ground truth: it correctly states that students do not use the private Zoom link, that they watch via YouTube Live, ask questions via Slido with the link pinned in chat, and that the stream URL is posted in Telegram/Slack announcements before the session. It also includes the warning not to post questions in chat. Semantically equivalent."
Where can I find the live video link for office hours before the session starts?,489dd1c9d9,good,"The AI answer correctly states where the live video URL is posted before the session starts: the announcements channel on Telegram and Slack, and that it can also be watched on the DataTalksClub YouTube channel. It omits some extra details from the ground truth (Zoom link only for instructors, Slido, and not using chat), but those are not required to answer the question."
"If I can’t use Zoom, what should I use to watch the workshop and ask questions?",489dd1c9d9,good,"The AI answer matches the ground truth: students watch via YouTube Live, ask questions via Slido, and the stream link is posted in Telegram/Slack announcements and on the DataTalksClub YouTube channel. It omits the warning not to post questions in chat, but that is extra detail rather than a core requirement."
"Why aren’t students given the Zoom URL for office hours, and where should questions go instead?",489dd1c9d9,good,"The AI answer correctly states that the Zoom URL is only for instructors/presenters/TAs and that students should use YouTube Live and Slido for questions. It also mentions Slack as a place to ask outside the live session, which is not contradictory. The core answer matches the ground truth, though it omits Telegram and the warning not to post questions in chat, but those omissions do not change the main meaning."
"Is the live session posted anywhere like Telegram, Slack, or YouTube before it begins?",489dd1c9d9,good,"The AI answer correctly states that the video URL is posted in the announcements channel on Telegram and Slack before the session begins, and that it can also be watched live on the DataTalksClub YouTube channel. This matches the core of the ground truth. It omits the extra details about Zoom links being restricted to instructors/presenters/TAs and about Slido/questions in chat, but those are not required for the question asked."
What’s the best way to begin the course if I’m new here and don’t want to miss anything?,04919992b3,good,"The AI answer preserves the key guidance: start with the docs and GitHub repo, you can begin anytime, and the typical workflow of videos -> notebooks/code -> homework instructions -> submission matches the ground truth. It adds Codespaces, which is extra but not contradictory. It omits the explicit note that homework is similar to the lesson flow but with a different dataset or slightly different task, but that is a minor detail and not essential to the main answer."
"Do I need to wait for a start date, or can I just jump into the LLM Zoomcamp materials whenever I want?",04919992b3,good,"The AI answer correctly states that there is no need to wait for a start date and that the materials are already available. It also mentions submitting homework while the form is open, which is consistent with the original. However, it omits some supporting details from the ground truth, such as the specific docs/repository references and the typical workflow/deadline platform. These omissions do not change the core meaning."
"What’s the usual weekly routine for this course — video first, then notebooks, then homework?",04919992b3,good,"The AI answer matches the ground truth’s main workflow exactly: videos, notebooks/code, homework instructions, and submission before deadline. It also correctly states that homework is similar but uses a different dataset or slightly different task. It omits the initial resource links and the note that you can start whenever you want, but those are extra details, not essential to the asked weekly routine."
Where are the deadlines and homework instructions posted for the course?,04919992b3,good,"The AI answer correctly identifies the two key places: deadlines on the course management platform and homework instructions in the GitHub repo. This matches the ground truth's core information, even though it omits extra context and linked resources."
