question,answer_llm,answer_orig,document
"I just found this course late — can I still join, or is it too late to start?","Yes, you can still join. You can start learning anytime, but if you want a certificate, you’ll need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Am I allowed to enroll if I only discovered the course now?,"Yes, you can still join if you just discovered the course. If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has started, can I still get a certificate?","Yes, but if you want to receive a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,"To qualify for the certificate, you need to:

- **Finish the course with a live cohort**
- **Submit and pass the Capstone project**
- **Peer-review 3 peers’ capstone projects**

If you’re joining late, the key requirement is that you still need to participate in the live course peer-review process. The course context says you **cannot get a certificate in self-paced mode**, and you can still catch up for the **Capstone submission windows** if you miss earlier ones.

If you’re asking about missing homework: **homework is not mandatory** for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is it okay to start the course now, and what’s the deadline for the final project if I want the certificate?","Yes, you can start the course whenever you want.

For the certificate, you must finish the course with a live cohort and pass the Capstone project. The exact final project deadline is listed on the course management platform: https://courses.datatalks.club/llm-zoomcamp-2026/

I don’t know the specific deadline from the provided context.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp — when should I get the confirmation email, or am I missing something?","You don’t need to wait for a confirmation email — you’re accepted already.

You can start learning and submit homework while the form is open, and registration is just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need a registration confirmation to join the course and submit homework?,"No. You don’t need a registration confirmation email to join the course or submit homework. You’re already accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I never got an email after registering, can I still start the LLM Zoomcamp anyway?","Yes — you can still start the LLM Zoomcamp.

You don’t need a confirmation email. If you registered, you’re accepted, and registration is just to gauge interest. You can also begin learning and submitting homework as long as the submission form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there a real acceptance step for the course, or does registration just help you track interest?","There is no real acceptance step. Registration is just to gauge interest before the start date, and you’re considered accepted already. You can start learning and submitting homework while the form is open, without waiting for a confirmation email.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Do I need to be on some registered list before I can do the homework, or is that not required?","No, it’s not required. You can start learning and submitting homework without registering, as long as the homework form is open. It is not checked against any registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link is private?,"Students do **not** use the private Zoom link directly.

They join the **Office Hours / live workshop** via:

- **YouTube Live** (watch the stream on the DataTalksClub YouTube channel)
- **Slido** for questions, with the link pinned in the chat when live
- The stream URL is also posted in the **announcements channel on Telegram and Slack** before it starts

Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the live video link for office hours before the session starts?,The live video URL should be posted in the announcements channel on Telegram and Slack before it begins. You can also watch live on the DataTalksClub YouTube channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I can’t use Zoom, what should I use to watch the workshop and ask questions?","Use **YouTube Live** to watch the workshop and **Slido** to ask questions.

The video URL is usually posted in the **announcements channel on Telegram and Slack** before it starts, and you can also watch on the **DataTalksClub YouTube Channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Why aren’t students given the Zoom URL for office hours, and where should questions go instead?","The Zoom URL isn’t given to students because it’s only published to instructors, presenters, and TAs.

Students should join via YouTube Live and send questions in Slido instead, with the Slido link pinned in the live chat. If they get stuck outside the live session, they should ask in Slack and follow the question-asking guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the live session posted anywhere like Telegram, Slack, or YouTube before it begins?","Yes — the video URL should be posted in the announcements channel on Telegram and Slack before it begins, and you can also watch it live on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
